"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 06 10:11:20 GMT+08:00 2022","Sun Nov 06 10:11:20 GMT+08:00 2022","359","testcases.user_manager","test_api","TestApi","","","test_get_token",""
"passed","Sun Nov 06 10:11:22 GMT+08:00 2022","Sun Nov 06 10:11:22 GMT+08:00 2022","0","testcases.user_manager","test_api","TestApi","","","test_test",""
"passed","Sun Nov 06 10:11:20 GMT+08:00 2022","Sun Nov 06 10:11:22 GMT+08:00 2022","1252","testcases.user_manager","test_api","TestApi","","","test_select_flag",""
