"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Dec 05 17:51:53 GMT+08:00 2022","Mon Dec 05 17:51:54 GMT+08:00 2022","625","testcases.user_manager","test_weixin","TestApi","","","微信获取token正例","这是一个获取token的用例"
"passed","Mon Dec 05 17:51:54 GMT+08:00 2022","Mon Dec 05 17:51:54 GMT+08:00 2022","102","testcases.user_manager","test_weixin","TestApi","","","RSA加密接口测试用例",""
